时间:2019-06-04 17:36:14,248 级别:INFO 消息：token写入成功
时间:2019-06-04 17:43:15,828 级别:INFO 消息：token写入成功
时间:2019-06-04 17:46:22,513 级别:INFO 消息：token写入成功
时间:2019-06-04 17:46:22,516 级别:INFO 消息：读取token成功

时间:2019-06-04 21:49:14,360 级别:ERROR 消息：sql
时间:2019-06-04 21:53:19,868 级别:INFO 消息：链接数据库mytest成功
时间:2019-06-04 21:54:17,041 级别:ERROR 消息：sql
时间:2019-06-04 22:20:23,507 级别:INFO 消息：链接数据库mytest成功
时间:2019-06-04 22:22:40,831 级别:INFO 消息：链接数据库mytest成功
时间:2019-06-04 22:28:22,611 级别:INFO 消息：链接数据库mytest成功
时间:2019-06-04 22:28:34,793 级别:INFO 消息：链接数据库mytest成功
时间:2019-06-04 22:29:05,913 级别:INFO 消息：链接数据库mytest成功
时间:2019-06-04 22:30:26,137 级别:INFO 消息：链接数据库mytest成功
时间:2019-06-04 22:30:46,109 级别:INFO 消息：链接数据库mytest成功
时间:2019-06-04 22:32:25,941 级别:INFO 消息：链接数据库mytest成功
时间:2019-06-04 22:32:28,791 级别:INFO 消息：链接数据库mytest成功
时间:2019-06-04 22:34:58,389 级别:INFO 消息：链接数据库mytest成功
时间:2019-06-04 22:36:32,894 级别:INFO 消息：链接数据库mytest成功
时间:2019-06-04 22:37:04,469 级别:INFO 消息：链接数据库mytest成功
时间:2019-06-04 22:40:14,478 级别:INFO 消息：链接数据库mytest成功
时间:2019-06-04 22:48:48,200 级别:INFO 消息：链接数据库mytest成功
时间:2019-06-04 22:49:10,928 级别:INFO 消息：链接数据库mytest成功
时间:2019-06-04 22:49:10,929 级别:INFO 消息：数据库SELECT * FROM emp WHERE sal>1000查询成功
时间:2019-06-04 22:49:10,929 级别:INFO 消息：数据库SELECT * FROM emp WHERE sal>1000查询成功
时间:2019-06-04 22:49:10,929 级别:INFO 消息：数据库SELECT * FROM emp WHERE sal>1000查询成功
时间:2019-06-04 22:49:10,929 级别:INFO 消息：数据库SELECT * FROM emp WHERE sal>1000查询成功
时间:2019-06-04 22:49:10,929 级别:INFO 消息：数据库SELECT * FROM emp WHERE sal>1000查询成功
