时间:2019-06-08 17:45:53,852 级别:INFO 消息：链接redis成功
时间:2019-06-08 17:47:20,428 级别:INFO 消息：链接redis成功
时间:2019-06-08 17:47:20,429 级别:INFO 消息：链接redis成功
时间:2019-06-08 17:47:56,994 级别:INFO 消息：链接redis成功
时间:2019-06-08 17:47:56,994 级别:INFO 消息：链接redis成功
时间:2019-06-08 17:49:31,753 级别:INFO 消息：链接redis成功
时间:2019-06-08 17:49:31,753 级别:INFO 消息：链接redis成功
时间:2019-06-08 18:38:09,269 级别:INFO 消息：链接redis成功
时间:2019-06-08 18:38:09,270 级别:INFO 消息：链接redis成功
时间:2019-06-08 20:49:51,644 级别:INFO 消息：链接redis成功
时间:2019-06-08 20:49:51,645 级别:INFO 消息：链接redis成功
时间:2019-06-08 20:50:23,222 级别:INFO 消息：链接redis成功
时间:2019-06-08 20:50:23,234 级别:INFO 消息：链接redis成功
时间:2019-06-08 20:50:48,593 级别:INFO 消息：链接redis成功
时间:2019-06-08 20:50:48,593 级别:INFO 消息：链接redis成功
时间:2019-06-08 20:51:55,649 级别:INFO 消息：链接redis成功
时间:2019-06-08 20:51:55,693 级别:INFO 消息：链接redis成功
时间:2019-06-08 20:54:38,694 级别:INFO 消息：链接redis成功
时间:2019-06-08 20:54:38,703 级别:INFO 消息：链接redis成功
时间:2019-06-08 22:23:16,306 级别:INFO 消息：链接redis成功
时间:2019-06-08 22:23:16,312 级别:INFO 消息：链接redis成功
时间:2019-06-08 22:23:45,044 级别:INFO 消息：链接redis成功
时间:2019-06-08 22:23:45,044 级别:INFO 消息：链接redis成功
时间:2019-06-08 22:42:37,662 级别:INFO 消息：链接redis成功
时间:2019-06-08 22:42:37,673 级别:INFO 消息：链接redis成功
时间:2019-06-08 22:43:22,521 级别:INFO 消息：链接redis成功
时间:2019-06-08 22:43:22,536 级别:INFO 消息：链接redis成功
时间:2019-06-08 22:43:33,229 级别:INFO 消息：链接redis成功
时间:2019-06-08 22:43:33,230 级别:INFO 消息：链接redis成功
时间:2019-06-08 22:49:43,420 级别:INFO 消息：链接redis成功
时间:2019-06-08 22:49:43,451 级别:INFO 消息：链接redis成功
时间:2019-06-08 22:50:02,266 级别:INFO 消息：链接redis成功
时间:2019-06-08 22:50:02,266 级别:INFO 消息：链接redis成功
时间:2019-06-08 23:15:24,874 级别:INFO 消息：链接redis成功
时间:2019-06-08 23:15:24,883 级别:INFO 消息：链接redis成功
时间:2019-06-08 23:15:35,919 级别:INFO 消息：链接redis成功
时间:2019-06-08 23:15:35,920 级别:INFO 消息：链接redis成功
时间:2019-06-08 23:29:32,834 级别:INFO 消息：链接redis成功
时间:2019-06-08 23:29:32,843 级别:INFO 消息：链接redis成功
时间:2019-06-08 23:30:08,526 级别:INFO 消息：链接redis成功
时间:2019-06-08 23:30:08,527 级别:INFO 消息：链接redis成功
时间:2019-06-08 23:34:38,623 级别:INFO 消息：链接redis成功
时间:2019-06-08 23:34:38,623 级别:INFO 消息：链接redis成功
时间:2019-06-08 23:35:08,992 级别:INFO 消息：链接redis成功
时间:2019-06-08 23:35:09,025 级别:INFO 消息：链接redis成功
时间:2019-06-08 23:36:57,868 级别:INFO 消息：链接redis成功
时间:2019-06-08 23:36:57,891 级别:INFO 消息：链接redis成功
时间:2019-06-08 23:36:57,976 级别:INFO 消息：成功插入用例时间
时间:2019-06-08 23:37:15,140 级别:INFO 消息：链接redis成功
时间:2019-06-08 23:37:15,141 级别:INFO 消息：链接redis成功
时间:2019-06-08 23:37:15,175 级别:INFO 消息：成功插入用例时间
时间:2019-06-08 23:37:38,832 级别:INFO 消息：链接redis成功
时间:2019-06-08 23:37:38,832 级别:INFO 消息：链接redis成功
时间:2019-06-08 23:37:38,841 级别:INFO 消息：成功插入用例时间
时间:2019-06-08 23:39:06,618 级别:INFO 消息：链接redis成功
时间:2019-06-08 23:39:06,643 级别:INFO 消息：链接redis成功
时间:2019-06-08 23:39:06,669 级别:INFO 消息：成功插入用例时间
时间:2019-06-08 23:39:06,687 级别:INFO 消息：插入数据成功
时间:2019-06-08 23:39:29,124 级别:INFO 消息：链接redis成功
时间:2019-06-08 23:39:29,124 级别:INFO 消息：链接redis成功
时间:2019-06-08 23:39:29,141 级别:INFO 消息：成功插入用例时间
时间:2019-06-08 23:39:29,141 级别:INFO 消息：插入数据成功
